Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Churn_Probability,Churn_Probability_Percent,Predicted_Churn,Risk_Level,Retention_Recommendation,Retention_Priority
21223-UTT,Female,72,Yes,Uttarakhand,7,12,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,2497.199951171875,0.0,60,1238.3800048828125,3795.580078125,Churned,Price,Price too high,0.71,71.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
21265-JAM,Male,66,No,Jammu & Kashmir,3,4,Deal 5,Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,-9.0,50.150001525878906,0.0,0,39.779998779296875,89.93000030517578,Churned,Competitor,Competitor made better offer,0.97,97.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
21282-JAM,Female,37,Yes,Jammu & Kashmir,4,17,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3499984741211,75.3499984741211,0.0,10,32.81999969482422,118.16999816894531,Churned,Competitor,Competitor made better offer,0.97,97.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
21292-HAR,Male,34,No,Haryana,9,28,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.0999984741211,552.9500122070312,0.0,0,132.92999267578125,685.8800048828125,Churned,Competitor,Competitor offered more data,0.56,56.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",Medium
21368-AND,Female,23,No,Andhra Pradesh,9,2,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.5999984741211,7244.7001953125,0.0,0,1255.5799560546875,8500.2802734375,Stayed,Others,Others,0.5,50.0,1,Medium,"Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit | Offer a service review or upgrade consultation. Key signals: high monthly charge, short customer tenure, fiber service customer.",Medium
21667-HAR,Male,70,No,Haryana,15,22,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.6500015258789,293.8500061035156,0.0,0,24.719999313354492,318.57000732421875,Stayed,Others,Others,0.86,86.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
21710-JAM,Male,58,Yes,Jammu & Kashmir,12,26,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,86.44999694824219,830.8499755859375,0.0,0,176.5,1007.3499755859375,Churned,Competitor,Competitor made better offer,0.51,51.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",Medium
21712-MAD,Male,76,No,Madhya Pradesh,3,34,None,No,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.350000381469727,1359.699951171875,0.0,0,0.0,1359.699951171875,Churned,Competitor,Competitor had better devices,0.56,56.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Evaluate eligibility for a value plan. Key signals: month-to-month contract, premium support not active, no value deal assigned.",Medium
21811-CHH,Male,29,No,Chhattisgarh,13,7,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.2999877929688,0.0,100,20.200000762939453,975.5,Churned,Competitor,Competitor offered more data,0.63,63.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",Medium
21857-BIH,Female,32,No,Bihar,11,19,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.94999694824219,2254.199951171875,0.0,0,371.79998779296875,2626.0,Churned,Competitor,Competitor offered higher download speeds,0.56,56.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",Medium
22210-UTT,Male,70,No,Uttar Pradesh,13,23,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4000015258789,527.9000244140625,32.459999084472656,0,62.439998626708984,557.8800048828125,Churned,Attitude,Attitude of service provider,0.74,74.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
22226-KER,Male,81,Yes,Kerala,11,13,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Month-to-Month,No,Credit Card,91.0,3180.5,0.0,40,916.6500244140625,4137.14990234375,Stayed,Others,Others,0.7,70.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
22286-HAR,Female,54,Yes,Haryana,6,36,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.709999084472656,140.4600067138672,Churned,Competitor,Competitor had better devices,0.93,93.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
22329-HAR,Male,76,No,Haryana,12,20,None,No,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,34.650001525878906,768.4500122070312,0.0,0,0.0,768.4500122070312,Stayed,Others,Others,0.65,65.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Evaluate eligibility for a value plan. Key signals: month-to-month contract, premium support not active, no value deal assigned.",Medium
22439-RAJ,Female,73,Yes,Rajasthan,4,1,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.300048828125,0.0,120,127.48999786376953,1367.7900390625,Churned,Dissatisfaction,Product dissatisfaction,0.76,76.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
26458-TEL,Female,49,Yes,Telangana,12,4,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.5,2341.550048828125,0.0,0,416.760009765625,2758.31005859375,Stayed,Others,Others,0.74,74.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
26601-UTT,Male,36,No,Uttar Pradesh,13,25,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.6500015258789,1185.0,0.0,0,637.97998046875,1822.97998046875,Stayed,Others,Others,0.57,57.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",Medium
26707-HAR,Female,18,No,Haryana,8,5,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6500015258789,338.8999938964844,0.0,0,27.639999389648438,366.5400085449219,Churned,Dissatisfaction,Limited range of services,0.79,79.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
26714-TAM,Female,50,Yes,Tamil Nadu,5,5,None,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,63.75,226.1999969482422,0.0,0,12.119999885559082,238.32000732421875,Stayed,Others,Others,0.57,57.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Evaluate eligibility for a value plan. Key signals: month-to-month contract, short customer tenure, no value deal assigned.",Medium
26757-KAR,Female,35,No,Karnataka,3,9,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.30000305175781,424.1499938964844,0.0,0,182.60000610351562,606.75,Churned,Competitor,Competitor had better devices,0.74,74.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
26761-GUJ,Male,46,No,Gujarat,3,13,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.5,829.0999755859375,0.0,0,172.97999572753906,1002.0800170898438,Churned,Dissatisfaction,Limited range of services,0.79,79.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
26873-TAM,Female,22,Yes,Tamil Nadu,12,3,None,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,75.0,632.9500122070312,0.0,0,42.720001220703125,675.6699829101562,Churned,Dissatisfaction,Network reliability,0.5,50.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",Medium
31589-MAD,Female,32,No,Madhya Pradesh,8,14,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,47.79999923706055,92.44999694824219,0.0,0,27.459999084472656,119.91000366210938,Churned,Attitude,Attitude of support person,0.98,98.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support. Key signals: month-to-month contract, premium support not active.",High
31678-GUJ,Female,57,No,Gujarat,7,3,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9000015258789,764.9500122070312,0.0,0,232.0,996.9500122070312,Churned,Price,Long distance charges,0.72,72.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
31805-ASS,Male,47,No,Assam,1,22,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.5999984741211,319.1499938964844,0.0,0,57.20000076293945,376.3500061035156,Churned,Competitor,Competitor offered more data,0.75,75.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer a service review or upgrade consultation. Key signals: month-to-month contract, high monthly charge, fiber service customer.",High
35014-HAR,Female,74,Yes,Haryana,6,28,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.5,6479.39990234375,0.0,0,1142.8199462890625,7622.22021484375,Stayed,Others,Others,0.67,67.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",Medium
35016-ODI,Male,49,Yes,Odisha,15,1,Deal 5,No,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,35.900001525878906,35.900001525878906,0.0,0,0.0,35.900001525878906,Churned,Competitor,Competitor offered higher download speeds,0.99,99.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
35146-HAR,Female,21,No,Haryana,0,3,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.44999694824219,85.44999694824219,0.0,0,31.030000686645508,116.4800033569336,Churned,Price,Price too high,0.95,95.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
35197-TEL,Female,78,Yes,Telangana,14,27,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,0.0,0,37.29999923706055,106.55000305175781,Churned,Competitor,Competitor had better devices,0.99,99.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
35237-MAH,Male,68,No,Maharashtra,0,2,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.3499984741211,69.3499984741211,0.0,0,45.86000061035156,115.20999908447266,Churned,Price,Long distance charges,0.98,98.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
35279-HAR,Female,43,No,Haryana,11,6,None,Yes,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,59.20000076293945,59.20000076293945,0.0,0,13.579999923706055,72.77999877929688,Churned,Dissatisfaction,Service dissatisfaction,0.99,99.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
35391-UTT,Male,23,No,Uttar Pradesh,15,5,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,70.69999694824219,553.4000244140625,0.0,0,335.44000244140625,888.8400268554688,Stayed,Others,Others,0.54,54.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",Medium
35401-UTT,Female,42,Yes,Uttar Pradesh,13,26,None,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,71.3499984741211,71.3499984741211,0.0,0,40.400001525878906,111.75,Churned,Dissatisfaction,Poor expertise of phone support,0.96,96.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Evaluate eligibility for a value plan. Key signals: month-to-month contract, premium support not active, no value deal assigned.",High
38920-GUJ,Female,81,Yes,Gujarat,15,34,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.0,1127.199951171875,0.0,0,57.849998474121094,1185.050048828125,Churned,Attitude,Attitude of support person,0.74,74.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
38932-TAM,Female,59,No,Tamil Nadu,5,8,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.8499984741211,2239.64990234375,0.0,0,575.7999877929688,2815.449951171875,Churned,Dissatisfaction,Service dissatisfaction,0.81,81.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
38999-WES,Female,59,Yes,West Bengal,0,15,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,69.80000305175781,134.6999969482422,0.0,0,75.44000244140625,210.13999938964844,Churned,Other,Don't know,0.87,87.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
39047-KAR,Female,20,No,Karnataka,9,8,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,71.3499984741211,71.3499984741211,0.0,0,35.279998779296875,106.62999725341797,Churned,Attitude,Attitude of support person,0.98,98.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
39161-JAM,Female,72,No,Jammu & Kashmir,5,9,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.55000305175781,646.8499755859375,0.0,0,150.00999450683594,796.8599853515625,Churned,Competitor,Competitor made better offer,0.94,94.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",High
39167-TAM,Female,41,No,Tamil Nadu,6,15,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.5,77.5999984741211,0.0,0,14.520000457763672,92.12000274658203,Stayed,Others,Others,0.76,76.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Evaluate eligibility for a value plan. Key signals: month-to-month contract, premium support not active, no value deal assigned.",High
39191-UTT,Female,74,No,Uttar Pradesh,14,20,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,76.4000015258789,76.4000015258789,0.0,0,41.15999984741211,117.55999755859375,Churned,Attitude,Attitude of support person,0.99,99.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
39193-TAM,Female,68,Yes,Tamil Nadu,1,21,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.8499984741211,2674.14990234375,11.369999885559082,0,372.92999267578125,3035.7099609375,Stayed,Others,Others,0.69,69.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",Medium
43324-KAR,Female,73,No,Karnataka,8,32,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,85.55000305175781,851.75,0.0,0,60.099998474121094,911.8499755859375,Churned,Attitude,Attitude of support person,0.85,85.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
43353-GUJ,Female,72,Yes,Gujarat,11,33,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.8499984741211,372.45001220703125,0.0,0,51.439998626708984,423.8900146484375,Churned,Other,Don't know,0.97,97.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
43397-UTT,Female,41,No,Uttar Pradesh,6,33,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4000015258789,896.75,0.0,0,37.959999084472656,934.7100219726562,Churned,Competitor,Competitor made better offer,0.63,63.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",Medium
46886-UTT,Female,65,No,Uttar Pradesh,0,22,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.6500015258789,142.35000610351562,0.0,0,25.040000915527344,167.38999938964844,Churned,Competitor,Competitor had better devices,0.99,99.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
46986-DEL,Female,52,Yes,Delhi,4,17,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.5,362.20001220703125,0.0,0,29.559999465942383,391.760009765625,Churned,Competitor,Competitor made better offer,0.79,79.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer a service review or upgrade consultation. Key signals: month-to-month contract, high monthly charge, fiber service customer.",High
47045-TAM,Male,74,No,Tamil Nadu,13,20,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.0,73.0,0.0,0,20.549999237060547,93.55000305175781,Churned,Competitor,Competitor offered more data,0.98,98.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",High
47094-MAD,Male,27,No,Madhya Pradesh,11,6,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,162.4499969482422,0.0,0,34.439998626708984,196.88999938964844,Churned,Other,Don't know,0.98,98.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
